municipio,vul_car_pob,NOM_MUN,NOM_LOC,PCON_LIMI,PHOG_IND,P5_HLI_NHE,PCON_DISC,VPH_PISODT,VPH_S_ELEC
Aguascalientes,"257,144",Aguascalientes,Total del Municipio,116705,4050,8,47525,264662,438
Asientos,"19,243",Asientos,Total del Municipio,4551,43,0,2886,12330,95
Calvillo,"21,199",Calvillo,Total del Municipio,6760,173,1,4088,15336,112
Cosío,"5,138",Cosío,Total del Municipio,1933,15,0,805,3891,25
Jesús María,"42,186",Jesús María,Total del Municipio,11904,395,1,5036,32719,155
Pabellón de Arteaga,"14,285",Pabellón de Arteaga,Total del Municipio,5833,114,0,2624,11350,67
Rincón de Romos,"17,154",Rincón de Romos,Total del Municipio,6689,409,1,3323,13337,90
San José de Gracia,"3,282",San José de Gracia,Total del Municipio,1135,30,0,569,2354,33
Tepezalá,"8,028",Tepezalá,Total del Municipio,2067,35,0,1063,5310,44
El Llano,"7,647",El Llano,Total del Municipio,2610,20,0,1141,5127,76
San Francisco de los Romo,"12,774",San Francisco de los Romo,Total del Municipio,5295,268,11,2234,16218,75
Ensenada,"180,920",Ensenada,Total del Municipio,46474,23831,426,20367,136146,2359
Mexicali,"380,939",Mexicali,Total del Municipio,103539,9657,47,44519,324407,2252
Tecate,"48,722",Tecate,Total del Municipio,10625,1596,3,4104,30297,488
Tijuana,"728,225",Tijuana,Total del Municipio,176322,28810,136,71235,560881,1693
Playas de Rosarito,"58,866",Playas de Rosarito,Total del Municipio,12170,2856,1,5391,35911,289
San Quintín,"55,472",San Quintín,Total del Municipio,12139,35863,644,6329,31042,1866
Comondú,"24,817",Comondú,Total del Municipio,9169,1598,32,4530,21401,356
Mulegé,"25,457",Mulegé,Total del Municipio,7828,6309,33,3330,18612,444
La Paz,"113,224",La Paz,Total del Municipio,38052,6447,52,15395,88853,1141
Los Cabos,"130,405",Los Cabos,Total del Municipio,32694,14576,38,11218,92596,810
Loreto,"6,119",Loreto,Total del Municipio,2490,471,2,910,5322,75
Calkiní,"12,523",Calkiní,Total del Municipio,6867,45092,1035,2955,14892,136
Campeche,"78,533",Campeche,Total del Municipio,42672,34670,104,19010,84110,455
Carmen,"82,796",Carmen,Total del Municipio,28699,7954,45,12608,69179,624
Champotón,"22,402",Champotón,Total del Municipio,8303,16580,115,4095,20663,410
Hecelchakán,"6,147",Hecelchakán,Total del Municipio,3166,20630,253,1700,8158,73
Hopelchén,"9,421",Hopelchén,Total del Municipio,3863,26483,331,1912,9926,179
Palizada,"2,911",Palizada,Total del Municipio,861,217,0,435,2427,66
Tenabo,"3,747",Tenabo,Total del Municipio,1526,4757,20,758,3022,45
Escárcega,"13,073",Escárcega,Total del Municipio,6514,7218,142,3389,15904,295
Calakmul,"5,870",Calakmul,Total del Municipio,3052,12350,298,1714,7234,202
Candelaria,"8,880",Candelaria,Total del Municipio,5263,5660,99,2505,12071,989
Seybaplaya,n.d,Seybaplaya,Total del Municipio,2170,1256,16,1178,4225,42
Abasolo,663,Abasolo,Total del Municipio,125,3,0,83,362,0
Acuña,"43,942",Acuña,Total del Municipio,13646,1145,1,6307,46685,227
Allende,"6,173",Allende,Total del Municipio,1827,27,0,1014,6824,12
Arteaga,"14,283",Arteaga,Total del Municipio,2864,136,0,1268,8412,59
Candela,745,Candela,Total del Municipio,202,0,0,89,468,2
Castaños,"6,395",Castaños,Total del Municipio,3247,30,0,961,8338,46
Cuatro Ciénegas,"4,430",Cuatro Ciénegas,Total del Municipio,1701,33,0,709,3719,103
Escobedo,"1,468",Escobedo,Total del Municipio,281,1,0,158,904,6
Francisco I. Madero,"24,964",Francisco I. Madero,Total del Municipio,6169,123,1,3076,15673,47
Frontera,"16,755",Frontera,Total del Municipio,6649,126,0,3500,23243,56
General Cepeda,"3,354",General Cepeda,Total del Municipio,1272,3,0,519,3348,23
Guerrero,797,Guerrero,Total del Municipio,249,17,0,102,511,8
Hidalgo,992,Hidalgo,Total del Municipio,215,0,0,52,488,6
Jiménez,"4,640",Jiménez,Total del Municipio,974,6,0,454,2690,46
Juárez,949,Juárez,Total del Municipio,256,0,0,157,481,4
Lamadrid,798,Lamadrid,Total del Municipio,182,3,0,76,553,3
Matamoros,"44,573",Matamoros,Total del Municipio,13540,164,8,6318,30638,79
Monclova,"54,314",Monclova,Total del Municipio,26458,528,2,11954,69409,170
Morelos,"2,878",Morelos,Total del Municipio,1057,4,0,346,2325,6
Múzquiz,"18,159",Múzquiz,Total del Municipio,8425,251,0,4179,20263,148
Nadadores,"1,867",Nadadores,Total del Municipio,1066,18,0,485,1964,8
Nava,"7,337",Nava,Total del Municipio,2709,59,0,1467,9270,34
Ocampo,"3,715",Ocampo,Total del Municipio,965,8,0,530,2622,131
Parras,"11,624",Parras,Total del Municipio,6257,98,1,3168,12500,56
Piedras Negras,"50,945",Piedras Negras,Total del Municipio,14111,649,0,6653,51237,119
Progreso,"1,467",Progreso,Total del Municipio,529,0,0,256,971,1
Ramos Arizpe,"31,205",Ramos Arizpe,Total del Municipio,8899,893,0,3509,34070,101
Sabinas,"14,504",Sabinas,Total del Municipio,4972,203,1,2853,20071,47
Sacramento,833,Sacramento,Total del Municipio,180,0,0,139,724,1
Saltillo,"206,357",Saltillo,Total del Municipio,72000,4517,12,28720,240185,307
San Buenaventura,"5,524",San Buenaventura,Total del Municipio,3339,35,0,1575,7584,37
San Juan de Sabinas,"6,618",San Juan de Sabinas,Total del Municipio,4681,48,0,2162,13013,31
San Pedro,"33,218",San Pedro,Total del Municipio,10524,351,0,6131,26144,110
Sierra Mojada,"1,697",Sierra Mojada,Total del Municipio,878,28,0,298,1901,21
Torreón,"192,153",Torreón,Total del Municipio,76730,1966,11,32722,212431,193
Viesca,"7,196",Viesca,Total del Municipio,3102,20,0,1616,5194,27
Villa Unión,"2,277",Villa Unión,Total del Municipio,823,3,0,429,1812,21
Zaragoza,"5,115",Zaragoza,Total del Municipio,1439,20,0,781,3925,100
Armería,"11,844",Armería,Total del Municipio,3664,204,0,1852,7725,70
Colima,"58,415",Colima,Total del Municipio,19714,1265,32,9600,49239,242
Comala,"8,645",Comala,Total del Municipio,3329,112,0,1515,6009,74
Coquimatlán,"8,123",Coquimatlán,Total del Municipio,3029,281,14,1578,5865,87
Cuauhtémoc,"11,769",Cuauhtémoc,Total del Municipio,4186,1766,30,1988,9129,38
Ixtlahuacán,"2,838",Ixtlahuacán,Total del Municipio,804,49,0,397,1576,30
Manzanillo,"66,405",Manzanillo,Total del Municipio,20911,2151,3,8579,58436,199
Minatitlán,"4,620",Minatitlán,Total del Municipio,1016,53,0,429,2742,50
Tecomán,"48,020",Tecomán,Total del Municipio,13423,3015,77,7454,30848,208
Villa de Álvarez,"51,686",Villa de Álvarez,Total del Municipio,17249,874,2,6488,48409,123
