REL_H_M,PROM_HNV,P3HLI_HE,P5_HLI_HE,GRAPROES,GRAPROES_F,GRAPROES_M,PROM_OCUP,PRO_OCUP_C,ic_ali,NOM_ENT
94.9,1.98,1792,1776,10.84,10.75,10.93,3.54,0.84,15.8,Aguascalientes
96.14,2.62,22,22,8.54,8.68,8.38,4.1,1.07,28.5,Aguascalientes
96.21,2.67,74,72,8.05,8.31,7.78,3.74,0.97,20.1,Aguascalientes
95.22,2.51,7,7,9.08,9.1,9.07,4.32,1.14,25.0,Aguascalientes
100.37,2.62,8,8,8.49,8.56,8.43,3.91,1.05,17.9,Aguascalientes
97.73,2.11,149,149,10.22,10.25,10.18,3.91,0.95,16.6,Aguascalientes
96.32,2.37,52,52,9.77,9.8,9.73,4.15,1.0,23.8,Aguascalientes
96.01,2.46,211,207,9.6,9.65,9.55,4.22,1.06,10.5,Aguascalientes
98.12,2.16,107,105,9.21,9.25,9.16,3.78,1.06,21.9,Aguascalientes
90.28,2.66,21,21,9.24,9.45,9.0,4.01,0.99,24.4,Aguascalientes
97.74,2.65,18,18,8.56,8.71,8.4,4.14,1.08,21.2,Aguascalientes
99.46,1.93,11250,11128,10.34,10.38,10.3,3.15,0.86,12.5,Baja California
101.67,1.95,5110,5075,10.53,10.53,10.53,3.16,0.83,10.7,Baja California
103.01,2.02,1172,1161,9.58,9.59,9.56,3.31,0.94,11.0,Baja California
103.44,2.26,16512,16343,7.83,7.84,7.82,3.57,1.19,13.6,Baja California
111.34,2.06,685,676,9.79,9.91,9.68,3.3,0.89,9.8,Baja California
101.57,1.84,12101,12030,10.18,10.12,10.25,3.31,0.93,20.5,Baja California
101.62,2.27,793,782,9.27,9.37,9.17,3.26,0.94,24.2,Baja California Sur
99.57,1.88,3093,3066,11.07,11.08,11.05,3.18,0.86,15.6,Baja California Sur
105.25,2.06,202,201,9.99,10.14,9.84,3.18,1.04,22.6,Baja California Sur
106.33,1.78,6212,6178,10.17,10.24,10.11,3.44,1.21,23.8,Baja California Sur
106.85,2.16,2948,2941,9.13,9.18,9.08,3.24,0.98,21.2,Baja California Sur
103.13,2.84,7226,7010,7.43,7.4,7.46,3.95,1.55,27.0,Campeche
97.03,2.2,25578,25314,9.4,9.12,9.71,3.87,1.32,19.4,Campeche
92.81,1.85,12970,12928,10.72,10.59,10.87,3.44,0.95,27.8,Campeche
101.87,2.79,2734,2682,7.25,7.3,7.2,3.53,1.38,28.4,Campeche
97.81,1.88,3459,3441,10.26,10.11,10.43,3.44,1.13,26.5,Campeche
